#                                                                                                          --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                   accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                           ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
B114|2157|MGYP000640901729/224-249                              -          2A-class-2           -              3e-15   52.5   0.9     3e-15   52.5   0.9   1.0   1   0   0   1   1   1   1 -
B117|2160|MGYP000414798023/183-207                              -          2A-class-2           -            3.1e-15   52.4   0.8   3.1e-15   52.4   0.8   1.0   1   0   0   1   1   1   1 -
B32|2075|MGYP000585829260/84-108                                -          2A-class-2           -            3.1e-15   52.4   1.5   3.1e-15   52.4   1.5   1.0   1   0   0   1   1   1   1 -
B178|2221|tr|A0A6B9T423|A0A6B9T423_9VIRU/489-510                -          2A-class-2           -            3.3e-15   52.4   2.2   3.4e-15   52.3   2.2   1.0   1   0   0   1   1   1   1 -
B115|2158|MGYP000730024496/55-81                                -          2A-class-2           -            3.4e-15   52.3   0.9   3.6e-15   52.3   0.9   1.0   1   0   0   1   1   1   1 -
B116|2159|MGYP006124929171/66-92                                -          2A-class-2           -            3.4e-15   52.3   0.9   3.6e-15   52.3   0.9   1.0   1   0   0   1   1   1   1 -
B96|2139|MGYP006135164527/21-46                                 -          2A-class-2           -            4.4e-15   52.0   1.7   4.4e-15   52.0   1.7   1.0   1   0   0   1   1   1   1 -
B28|2071|MGYP002632001041/25-49                                 -          2A-class-2           -            6.1e-15   51.5   3.2   6.2e-15   51.5   3.2   1.0   1   0   0   1   1   1   1 -
B175|2218|tr|A0A6B9T3C8|A0A6B9T3C8_9VIRU/489-510                -          2A-class-2           -            6.5e-15   51.4   2.2   6.6e-15   51.4   2.2   1.0   1   0   0   1   1   1   1 -
B155|2198|MGYP002881160252/35-56                                -          2A-class-2           -            7.3e-15   51.3   2.7   7.3e-15   51.3   2.7   1.0   1   0   0   1   1   1   1 -
B108|2151|MGYP003306836519/30-54                                -          2A-class-2           -            7.5e-15   51.2   0.9   7.5e-15   51.2   0.9   1.0   1   0   0   1   1   1   1 -
B173|2216|tr|A0A3G1LEG8|A0A3G1LEG8_9VIRU/490-513                -          2A-class-2           -            7.6e-15   51.2   2.2   7.8e-15   51.2   2.2   1.0   1   0   0   1   1   1   1 -
B143|2186|MGYP002633099329/240-262                              -          2A-class-2           -            8.2e-15   51.1   0.7   8.4e-15   51.1   0.7   1.0   1   0   0   1   1   1   1 -
B112|2155|MGYP001374896250/45-70                                -          2A-class-2           -            8.4e-15   51.1   1.4   8.5e-15   51.1   1.4   1.0   1   0   0   1   1   1   1 -
B20|2063|MGYP001195529438/98-121                                -          2A-class-2           -            8.8e-15   51.0   2.3   8.9e-15   51.0   2.3   1.0   1   0   0   1   1   1   1 -
B120|2163|MGYP001181934256/125-148                              -          2A-class-2           -              9e-15   51.0   1.3     9e-15   51.0   1.3   1.0   1   0   0   1   1   1   1 -
B172|2215|tr|E1CI71|E1CI71_9VIRU/490-513                        -          2A-class-2           -              1e-14   50.8   2.2     1e-14   50.8   2.2   1.0   1   0   0   1   1   1   1 -
B121|2164|MGYP000618267963/46-69                                -          2A-class-2           -            1.1e-14   50.7   2.3   1.1e-14   50.7   2.3   1.0   1   0   0   1   1   1   1 -
B176|2219|tr|A0A6B9T3B2|A0A6B9T3B2_9VIRU/489-510                -          2A-class-2           -            1.1e-14   50.6   0.7   1.2e-14   50.6   0.7   1.0   1   0   0   1   1   1   1 -
B118|2161|MGYP000612384058/23-46                                -          2A-class-2           -            1.2e-14   50.6   2.1   1.2e-14   50.6   2.1   1.0   1   0   0   1   1   1   1 -
B107|2150|MGYP006215662235/23-47                                -          2A-class-2           -            1.3e-14   50.5   2.2   1.3e-14   50.5   2.2   1.0   1   0   0   1   1   1   1 -
B113|2156|MGYP001222604727/124-149                              -          2A-class-2           -            1.3e-14   50.4   2.5   1.3e-14   50.4   2.5   1.0   1   0   0   1   1   1   1 -
B174|2217|tr|A0A1B2K496|A0A1B2K496_9VIRU/489-510                -          2A-class-2           -            1.5e-14   50.3   1.0   1.5e-14   50.3   1.0   1.0   1   0   0   1   1   1   1 -
B177|2220|tr|H8ZPW9|H8ZPW9_9VIRU/489-510                        -          2A-class-2           -            1.5e-14   50.3   1.0   1.5e-14   50.3   1.0   1.0   1   0   0   1   1   1   1 -
B122|2165|MGYP000320456223/189-214                              -          2A-class-2           -            1.5e-14   50.2   2.2   1.5e-14   50.2   2.2   1.0   1   0   0   1   1   1   1 -
B95|2138|MGYP002633949297/61-86                                 -          2A-class-2           -            1.6e-14   50.2   1.9   1.6e-14   50.2   1.9   1.0   1   0   0   1   1   1   1 -
B132|2175|MGYP001493458114/121-142                              -          2A-class-2           -            1.6e-14   50.2   3.1   1.6e-14   50.2   3.1   1.0   1   0   0   1   1   1   1 -
B29|2072|MGYP000547474213/34-58                                 -          2A-class-2           -            1.6e-14   50.2   2.3   1.6e-14   50.2   2.3   1.0   1   0   0   1   1   1   1 -
