IMGVR_UViG_3300030863_000140	3300030863	Ga0265766_1000320	whole	Host-associated;Plants;Roots;Rhizosphere	vOTU_00168434	1993	Linear	0.9690	High-confidence	NA	0.00	Unsure	1;1;0;1	r__Riboviria;k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;;;	RVMT (doi:10.1101/2022.02.15.480533)	;;;;;;		RVMT (10.1101/2022.02.15.480533)
IMGVR_UViG_2700989091_000001	2700989091	2700998891	whole	;;;	vOTU_08665091	8976	Linear	0.9553	High-confidence	100.00	0.00	Reference	1;1;0;	r__Riboviria;k__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__Picornaviridae;g__Aalivirus;s__Aalivirus A	RefSeq	;;;;;;		RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300021151_000069	3300021151	Ga0179584_1205691	whole	Environmental;Terrestrial;Soil;Vadose zone	vOTU_00068636	7467	Linear	0.9222	High-confidence	91.85	0.00	High-quality	4;4;0;1	r__Riboviria;k__Orthornavirae;p__Kitrinoviricota;;;;;	RVMT (doi:10.1101/2022.02.15.480533)	;;;;;;		RVMT (10.1101/2022.02.15.480533)
IMGVR_UViG_3300020445_000015	3300020445	Ga0211564_10000112	whole	Environmental;Aquatic;Marine;Unclassified	vOTU_03744490	39319	Linear	0.9216	High-confidence	88.64	0.00	Genome fragment	49;49;0;5	r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;;;;	geNomad	;;;;;;		geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300020445_000015	3300020445	Ga0211564_10000112	whole	Environmental;Aquatic;Marine;Unclassified	vOTU_03744490	39319	Linear	0.9216	High-confidence	88.64	0.00	Genome fragment	49;49;0;5	r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;;;;	geNomad	;;;;;;		geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300021151_000069	3300021151	Ga0179584_1205691	whole	Environmental;Terrestrial;Soil;Vadose zone	vOTU_00068636	7467	Linear	0.9222	High-confidence	91.85	0.00	High-quality	4;4;0;1	r__Riboviria;k__Orthornavirae;p__Kitrinoviricota;;;;;	RVMT (doi:10.1101/2022.02.15.480533)	;;;;;;		RVMT (10.1101/2022.02.15.480533)
IMGVR_UViG_3300016700_000220	3300016700	Ga0181513_1152556	whole	Environmental;Terrestrial;Soil;Wetlands	vOTU_00141598	1950	Linear	0.9632	High-confidence	22.95	0.00	Genome fragment	2;2;0;1	r__Riboviria;k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Stellavirales;f__Astroviridae;;	RVMT (doi:10.1101/2022.02.15.480533)	;;;;;;		RVMT (10.1101/2022.02.15.480533)
IMGVR_UViG_3300036165_000117	3300036165	Ga0393227_000266	whole	Environmental;Aquatic;Marine;Intertidal zone	vOTU_00215068	4496	Linear	0.9495	High-confidence	60.23	0.00	Genome fragment	1;1;0;1	r__Riboviria;k__Orthornavirae;;;;;;	RVMT (doi:10.1101/2022.02.15.480533)	;;;;;;		RVMT (10.1101/2022.02.15.480533)
IMGVR_UViG_3300037701_000276	3300037701	Ga0401871_001345	whole	Environmental;Terrestrial;Soil;Agricultural land	vOTU_00625608	2892	Linear	0.9558	High-confidence	71.62	0.00	Genome fragment	2;2;0;1	r__Riboviria;k__Orthornavirae;p__Kitrinoviricota;;;;;	geNomad	;;;;;;		geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300022532_000129	3300022532	Ga0242655_10000767	whole	Environmental;Terrestrial;Soil;Temperate forest	vOTU_00072558	4007	Linear	0.9198	High-confidence	99.71	0.00	High-quality	2;2;0;1	r__Riboviria;k__Orthornavirae;p__Kitrinoviricota;;;;;	RVMT (doi:10.1101/2022.02.15.480533)	;;;;;;		RVMT (10.1101/2022.02.15.480533)
IMGVR_UViG_3300016700_000579	3300016700	Ga0181513_1054264	whole	Environmental;Terrestrial;Soil;Wetlands	vOTU_00407041	7386	Linear	0.9696	High-confidence	95.87	0.00	High-quality	2;2;0;1	r__Riboviria;k__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;;;	geNomad	;;;;;;		geNomad v1.1.0 (10.5281/zenodo.7015982)
